RANK_DEA,RANK_ARAS,RANK_GRA,RANK_TOP,RANK_CHANGED_DEA
496,64,380,192,421
50,95,357,142,14
33,11,493,494,276
292,267,118,278,285
344,400,194,404,439
243,464,172,338,468
409,289,326,232,131
317,478,188,221,334
8,307,64,230,161
336,308,84,329,256
306,387,146,131,219
401,315,214,136,108
438,174,89,46,90
464,320,336,227,201
273,423,115,108,50
30,446,100,371,249
215,480,186,220,450
129,372,270,269,443
155,33,463,472,38
387,457,169,401,343
205,447,53,82,107
495,10,479,461,492
255,311,99,160,253
398,235,275,156,238
310,379,195,222,486
418,121,404,435,407
93,393,306,317,419
162,117,310,124,70
104,472,210,424,356
428,194,393,337,489
283,277,114,293,279
266,437,209,211,389
211,73,436,396,369
193,467,75,128,49
378,68,340,123,37
412,27,470,473,384
403,100,264,344,316
278,489,325,393,495
131,488,62,389,274
145,500,105,366,359
296,227,66,231,227
279,213,430,413,477
312,471,265,270,345
376,124,267,154,284
326,454,192,291,494
235,499,111,364,136
333,392,241,408,434
141,468,163,182,332
307,331,196,385,386
399,369,202,381,358
442,306,342,236,68
300,109,101,51,208
498,36,443,437,404
1,469,220,422,134
402,58,439,421,383
252,234,301,289,370
200,54,457,459,280
202,103,400,305,341
233,426,397,432,457
360,328,273,219,483
460,162,314,166,98
463,66,444,434,500
461,132,204,81,54
217,383,91,93,101
65,263,153,89,115
88,459,177,198,216
108,474,217,319,449
424,280,289,168,291
97,299,346,312,402
335,240,359,259,440
220,187,174,116,272
299,85,431,356,281
281,365,173,138,121
198,209,24,20,23
192,455,50,85,139
289,367,262,382,406
308,420,229,276,490
84,8,494,496,335
437,116,112,50,65
237,300,134,79,35
341,285,331,242,445
247,450,145,284,364
27,94,1,1,72
342,322,208,377,318
98,440,16,48,15
261,216,374,200,157
114,483,96,415,362
133,179,143,97,243
435,161,372,416,469
298,358,260,189,397
164,141,8,6,33
17,416,160,386,228
122,431,341,299,146
384,150,412,335,197
457,269,363,263,187
92,497,185,414,388
139,190,140,99,247
269,169,14,10,110
379,39,469,474,171
277,466,355,359,409
355,421,162,376,323
119,433,308,281,96
180,155,268,161,290
256,20,485,486,482
9,402,386,443,229
262,251,223,132,125
291,165,29,16,76
130,422,339,398,424
318,434,423,444,485
10,495,133,399,246
429,76,387,406,380
391,337,277,179,327
6,254,367,349,199
172,313,59,39,80
209,153,282,151,299
386,290,278,181,95
194,23,482,483,32
134,352,296,296,431
369,202,416,360,209
453,245,360,234,118
163,335,286,250,455
16,296,46,238,148
109,71,458,466,395
60,430,250,303,321
245,140,259,104,82
436,41,449,454,403
393,253,246,140,48
466,4,497,485,300
377,344,315,418,472
226,490,316,397,497
486,228,242,193,317
174,376,312,256,379
171,236,22,24,120
293,152,132,241,236
489,2,499,498,475
121,436,179,394,363
236,398,335,429,415
165,371,161,363,311
488,53,454,460,458
107,211,18,13,53
219,168,407,336,230
190,47,452,456,212
479,206,378,258,267
126,221,384,346,435
51,89,381,169,24
456,149,406,451,429
213,119,149,44,8
331,395,402,400,324
414,340,319,253,220
358,122,417,370,392
223,249,80,40,45
63,128,12,8,42
484,42,433,332,479
319,97,445,420,119
348,259,77,273,234
221,252,203,94,29
346,200,44,29,57
297,435,232,286,484
469,30,476,478,432
72,456,48,88,196
451,24,450,267,44
497,46,440,442,467
212,210,40,28,140
349,88,142,37,2
392,35,472,475,487
441,275,364,268,74
94,9,492,495,361
229,491,168,262,271
75,429,176,246,357
39,258,27,212,177
260,332,136,87,169
57,40,464,470,100
61,120,183,62,55
47,268,63,71,204
169,28,483,484,417
112,83,432,373,124
188,126,435,446,367
148,220,411,369,354
79,418,288,314,376
421,363,302,210,190
231,314,426,402,422
56,345,35,43,46
417,77,448,423,62
137,441,49,98,189
302,183,52,26,151
158,415,253,271,470
413,157,322,146,39
152,223,240,149,282
22,406,70,133,222
374,158,45,27,6
454,19,468,440,133
394,108,370,274,474
450,144,175,92,36
462,43,420,213,106
160,465,74,130,248
191,276,90,141,233
389,284,422,436,473
431,283,347,235,418
80,417,88,91,91
388,159,447,450,496
59,92,5,5,19
168,250,73,42,77
284,176,25,19,99
238,230,85,58,215
345,87,437,433,463
370,115,193,318,302
4,323,120,191,173
78,428,280,320,374
313,385,213,167,56
354,452,197,196,186
351,238,373,285,454
38,462,108,207,329
77,389,266,277,375
472,3,498,500,498
232,399,107,90,61
282,256,79,47,194
55,316,441,457,355
58,99,55,18,25
3,318,123,342,167
2,324,76,275,137
272,442,97,134,59
405,247,205,121,142
241,346,130,107,211
325,226,180,184,350
208,154,263,143,297
45,350,285,297,277
404,293,261,159,43
372,390,228,225,328
187,470,248,372,377
446,195,418,383,481
366,312,323,244,371
120,368,279,279,428
85,359,297,290,381
23,334,293,240,259
353,326,230,387,436
5,360,23,77,135
48,171,135,54,13
157,378,82,65,41
218,166,181,111,275
368,338,218,375,349
