	CPU cores,	CPU capacity provisioned [MHZ],	CPU usage [%],	CPU usage [MHZ],	Disk read throughput [KB/s],	Disk write throughput [KB/s],	Memory capacity provisioned [KB],	Memory usage [KB],	Network received throughput [KB/s],	Network transmitted throughput [KB/s]
1.0,2400.0,0.4,9.6,6.8,0.2,2375680.0,41940.8,0.2,0.133
1.0,2700.0,1.0,27.0,0.067,5.9665,2163216.0,112895.8,4.266500000000001,0.8
1.0,2925.999,0.4,11.704,0.7335,1.0,436226.0,37833.2665,0.5335,0.733
1.0,2926.0,0.4,11.704,1.6665,1.133,1042748.0,36174.266,0.333,0.467
1.0,2599.999,0.933,24.267,0.866,1.133,2435072.0,69902.667,0.867,1.0
1.0,2600.0,0.933,24.267,0.9,0.2,1964032.0,58717.6,0.2,0.2
1.0,2926.0,0.4,11.704,1.2334999999999998,1.133,893440.0,41591.2,0.333,0.36650000000000005
1.0,2925.999,0.4145,12.122,0.8,1.133,417792.0,53126.4,0.4,0.467
1.0,2699.999,0.933,25.2,0.067,0.2,126048.0,65535.2,2.2,0.8
1.0,2926.0,0.533,15.605,1.8,1.2,762408.0,46136.0,0.467,0.8
1.0,2925.999,0.533,15.605,0.533,1.0,464898.0,53999.2,0.36650000000000005,0.733
1.0,2699.999,0.933,25.2,1.5,0.4,142368.0,73748.533,0.467,0.333
1.0,2699.999,1.067,28.8,0.1835,0.2335,113720.0,58630.399999999994,0.8665,0.6000000000000001
1.0,2400.0,0.4,9.6,0.667,0.2,2512896.0,58717.6,0.2,0.133
1.0,2599.999,0.7335,19.0665,0.8,1.0335,2097152.0,71301.33350000001,0.8,1.5335
1.0,2600.0,0.8,20.799999999999997,0.733,0.267,2097152.0,50329.600000000006,0.367,0.4
1.0,2660.027,0.6000000000000001,15.9605,1.133,2.7,772564.0,42988.7335,0.067,0.067
1.0,2699.998,2.8329999999999997,76.5,1.6,10.4335,2169224.0,161478.8,2.4335,0.6665
1.0,2700.0,1.4335,38.7,0.067,9.766499999999999,2156048.0,128623.6,4.4335,0.8
1.0,2660.027,0.2335,6.2065,1.6,2.8665,817620.0,42290.133499999996,0.067,0.067
1.0,2400.0,0.333,8.0,9.923,0.2,2371584.0,30756.0,0.2,0.133
1.0,2599.999,1.0,26.0,1.4,1.133,2097152.0,68504.66649999999,0.4,1.0
1.0,2600.0,1.0,26.0,2.133,0.2,2097152.0,49455.2,0.717,0.9335
1.0,2660.027,0.4165,11.0835,0.733,2.9665,817620.0,41590.9335,0.067,0.067
2.0,5199.998,2.433,126.533,3.933,10.0,4194304.0,215305.867,2.333,4.32
2.0,4799.999,4.4,211.2,0.4335,91.566,4061184.0,318764.8,0.267,3.667
2.0,5851.999,1.5830000000000002,92.65700000000001,0.7835,8.5,4194304.0,234880.0,1.933,0.733
2.0,5852.0,3.4,198.968,209.4,116.533,6696960.0,866821.333,0.533,2.133
2.0,5199.999,1.6,83.2,4.6335,9.8,8257536.0,223694.133,4.5665,0.733
2.0,5320.054,1.333,70.934,0.267,6.933,4194276.0,109050.133,0.533,1.067
2.0,5851.998,2.1,122.892,2.067,19.6,8359936.0,397059.467,0.867,3.333
2.0,5199.999,1.6,83.2,2.1335,9.4,8257536.0,195732.8,1.4,0.267
2.0,5852.0,3.816,223.352,1.266,9.8,2527232.0,218102.667,0.4,0.2
2.0,5851.999,1.967,115.089,0.833,10.8665,4194304.0,323658.933,1.867,1.8
2.0,5851.998,0.8165,47.7915,55.817,1.3335,4185960.0,37747.467,2.267,15.8
2.0,5320.054,1.5,79.801,0.2,8.133,4194272.0,131420.533,0.467,1.067
2.0,5200.0,1.0,52.0,3.667,9.867,4194304.0,148197.333,2.333,4.267
2.0,5199.999,1.6835,87.5335,3.333,8.6335,8200192.0,145401.2,1.067,0.2
2.0,5199.998,2.0,104.0,5.333,6.067,8333520.0,268433.6,1.333,2.533
2.0,4799.999,3.5,168.0,0.467,69.0,4028416.0,346727.733,1.867,4.8
2.0,5320.054,1.367,72.707,0.133,6.8,4194276.0,109050.4,0.333,1.067
2.0,5851.998,3.6,210.672,390.867,121.6,8355840.0,827674.133,3.133,18.8
2.0,5851.999,1.55,90.706,2.533,8.267,4194304.0,223694.533,1.6,0.533
2.0,5852.0,5.733,335.515,0.4,20.133,5070848.0,452982.4,0.6,0.267
2.0,4799.999,3.6,172.8,0.5,93.0,4061184.0,343930.4,0.267,7.867
2.0,5199.998,2.1,109.2,7.0,67.8,8364032.0,218103.2,13.067,4.0
4.0,11703.997,1.6,187.264,0.7,12.0,16703488.0,167772.0,4.533,0.067
4.0,11704.0,4.95,579.348,0.0335,61.1665,16777216.0,1235920.4,0.0335,0.6
4.0,11703.999,1.525,178.486,0.9,11.2335,16551680.0,335544.0,4.533,0.1
4.0,11704.001,1.55,181.412,0.133,12.4,5228544.0,145402.4,4.667,0.133
4.0,11704.0,0.8,93.63199999999999,1.9665,1.167,16741376.0,128625.2,1.0,0.6665
4.0,11703.999,2.183,255.537,0.6,12.4,16703488.0,167772.0,4.733,0.133
4.0,11703.998,1.6915,197.9925,8.6,9.5335,16165632.0,167772.0,2.7335,1.0
4.0,11703.997,1.533,179.461,0.6045,10.533,16703488.0,167772.0,4.667,1.0
4.0,11703.996,0.4585,53.6435,0.6165,0.8999999999999999,12582912.0,201326.0,1.517,0.6
4.0,10640.11,21.4,2276.983,0.467,1876.0,16776936.0,5827284.8,192.733,620.667
4.0,10640.109,0.35,37.24,0.967,14.933,531386.0,85981.867,1.4,1.667
4.0,10399.999,1.9914999999999998,207.13350000000003,1.017,12.5,16534528.0,178956.8,4.7665,0.5335
4.0,10399.998,1.65,171.6,1.434,12.467,4069376.0,167772.0,4.733,0.067
4.0,10399.997,1.667,173.333,1.267,12.467,7043072.0,167772.0,4.733,0.067
4.0,10399.996,1.7414999999999998,181.13350000000003,1.167,12.467,10728448.0,167772.0,4.733,0.067
4.0,9599.999,4.371,419.6,0.5335000000000001,93.39999999999999,4867072.0,706738.2665,58.1665,5.8665
4.0,10640.109,25.174999999999997,2678.6475,1.5665,1496.5,8676080.4,3603953.3334999997,90.89999999999999,331.59999999999997
4.0,11704.001,2.25,263.34,0.067,10.867,20971520.0,713030.4,52.267,25.933
4.0,11703.998,1.833,214.573,6.0,4.2,16754688.0,201324.8,1.0,1.0
4.0,10399.999,1.667,173.333,5.066,12.067,2996224.0,134217.6,4.533,0.067
4.0,10400.0,20.45,2126.8,265.467,622.867,16777216.0,2594873.6,1692.867,1953.4
4.0,10399.997,1.65,171.6,5.066,12.133,3964928.0,134217.6,4.533,0.067
4.0,9599.999,4.25,408.0,1.8,73.3665,3571712.0,657106.1335,69.9,3.4
4.0,10399.996,1.783,185.467,1.1,12.867,16703488.0,190141.6,4.533,0.067
4.0,10399.997,1.55,161.2,1.733,12.133,2105344.0,134217.6,4.533,0.067
4.0,10399.998,1.65,171.6,7.4,12.067,2564096.0,134217.6,4.533,0.067
4.0,10640.109,13.725,1460.355,1.7165000000000001,1171.0665,8650963.2,2724198.8,116.7,289.7335
4.0,10399.999,1.6415,186.33350000000002,9.049999999999999,12.4335,16703488.0,184549.2,4.533,0.067
4.0,11703.998,1.267,148.251,2.6,7.333,16729088.0,282415.6,1.1,1.0
4.0,11703.999,1.4085,164.8315,138.9335,12.433499999999999,16539648.0,167772.0,4.533,0.067
4.0,9599.999,3.1580000000000004,303.2,0.4665,57.6,4857856.0,659902.0,55.533,5.3835
4.0,10399.996,1.7085,177.66649999999998,0.5665,12.5335,9857024.0,150994.8,4.533,0.067
4.0,11704.001,1.917,224.327,0.067,12.7,20432896.0,489333.333,52.2,25.867
4.0,11703.997,1.75,204.82,1.533,11.6,16703488.0,184549.2,4.533,0.6665
4.0,10399.998,1.633,169.867,5.066,12.133,3024896.0,134217.6,4.533,0.067
6.0,15599.995,38.956,6077.065,7665.867,8458.666,25165824.0,13807646.933,632.6,45.267
6.0,15599.996,3.411,532.133,1.667,4.533,12582912.0,369097.067,365.333,1077.667
6.0,15599.995,39.733,6198.398,11345.933,8194.467,25165824.0,13807646.133,620.8,47.733
6.0,15599.996,6.2,967.2,17.333,3.8,12582912.0,318765.333,673.133,1599.566
6.0,15599.996,18.761000000000003,2926.7325,3736.6000000000004,3854.2165,18874368.0,6874462.2665,323.7,185.25
6.0,15599.996,19.9115,3106.1325,3959.7835,4055.8999999999996,18874368.0,6920599.467,358.133,215.4665
8.0,23408.001,1.292,302.353,0.334,9.867,5111808.0,134217.6,4.733,0.067
8.0,23407.995,1.433,335.515,116.2,139.533,33509376.0,536870.4,0.067,0.2
8.0,23407.994,1.65,386.232,0.933,0.333,4194304.0,483741.067,0.667,0.733
8.0,23407.993,0.9,210.672,13.933,61.6,32669696.0,1946155.2,0.2,0.467
8.0,21599.993,0.733,158.4,32.067,14.333,32759808.0,246065.6,0.867,2.6
8.0,21599.988,2.225,480.6,0.2,30.533,33554432.0,559240.0,5.467,6.0
8.0,19199.997,11.558,2219.2,7.067,364.2505,9958400.0,816490.0,156.5505,2.2335000000000003
8.0,20799.992,0.5085000000000001,105.73349999999999,0.333,0.9,37158136.0,2427102.133,1.0665,1.0665
8.0,20799.999,51.902,10795.6325,0.067,1.2335,20971520.0,2133179.046,0.17200000000000001,1.2309999999999999
8.0,20800.0,1.767,367.467,52.233,10.6,41943040.0,1929377.6,1.6,0.6
8.0,19199.998,47.046,9032.799,93098.867,5155.933,16644096.0,13063858.4,269.4,0.333
8.0,19199.997,14.608,2804.8,0.333,695.667,3139584.0,989854.4,272.767,2.8
8.0,20799.997,0.496,103.1335,0.067,1.0,20971520.0,569026.0,0.6,1.2309999999999999
8.0,20799.995,0.821,170.7335,0.6335,0.933,33554432.0,4261411.0665,1.267,1.0
8.0,20799.994,0.892,185.467,0.733,0.933,33554432.0,4082453.734,1.2,1.0
8.0,20800.0,1.121,233.133,9.0335,6.1335,31457280.0,877575.2615,1.0050000000000001,1.8144999999999998
8.0,20800.002,1.383,287.733,0.166,15.0,66828288.0,223696.0,4.8,0.067
8.0,19199.997,11.15,2140.8,9.417000000000002,309.0665,9958400.0,830470.8,139.1665,2.833
8.0,20799.994,0.425,88.4,0.533,1.0,32857446.0,292202.0,0.267,1.0
8.0,19199.997,11.120999999999999,2135.2,4.667,339.9,9958400.0,777343.2,144.8,2.0
8.0,20799.992,0.475,98.8,0.067,1.0,40758476.0,3830796.533,0.533,1.0
8.0,20799.994,14.5125,3018.599,0.2,1.0,26791936.0,3628071.0664999997,0.36650000000000005,1.0
8.0,20799.995,0.858,178.533,0.467,0.933,32733184.0,2952787.2,0.8,1.0
8.0,20799.996,0.475,98.8,0.2,1.0,40763392.0,2153075.2,1.267,1.0
8.0,20799.997,0.9545,198.46699999999998,0.2665,1.0,33016942.0,3718948.0,0.533,1.0
8.0,20800.002,1.392,289.467,9.866,14.533,66828288.0,223696.0,4.6,0.067
8.0,21599.989,0.942,203.4,0.267,14.533,33554432.0,268435.2,4.867,3.067
8.0,21599.997,0.642,138.6,3.066,12.733,32759808.0,178956.8,0.067,2.4
8.0,20799.992,1.084,225.457,1090.9205,79.551,26499818.666500002,8405384.533499999,550.1665,17.5
8.0,23407.996,1.192,278.945,103.467,118.2,33509376.0,335544.0,0.067,0.133
8.0,23407.998,1.021,238.9565,1.517,165.3,19333120.0,1308621.6,2.3335,0.267
8.0,23407.994,1.842,431.097,2.0,0.4,4194304.0,489333.867,2.0,0.867
8.0,21599.989,0.85,183.6,0.267,15.733,33554432.0,268435.2,1.133,5.0
8.0,23407.999,0.883,206.771,0.467,322.533,33554432.0,2885678.4,0.333,0.467
8.0,23407.998,1.175,275.044,0.466,9.8,4331520.0,178956.8,4.467,0.067
8.0,23407.996,1.2,280.896,113.8,130.0,33509376.0,402652.8,0.067,0.333
8.0,23407.994,1.725,403.788,8.4,0.429,4194304.0,489333.333,1.2,1.067
8.0,21599.996,0.483,104.4,0.2,12.6,32759808.0,156587.2,0.2,2.333
8.0,20799.997,0.475,98.8,2.233,1.0,32610998.0,342533.6,1.6,1.0
8.0,20799.995,0.467,97.06700000000001,2.2664999999999997,1.0335,37156864.0,943716.4,1.6,1.0
16.0,41599.989,2.158,897.866,0.933,32.769,69069472.666,1006632.0,14.533,11.0
16.0,41599.989,1.846,767.866,0.667,37.333,100431872.0,1140849.6,14.4,11.133
16.0,41599.989,1.738,722.8,23.8,35.267,100431872.0,1006632.0,14.267,11.067
